ID,name,start_year,max_hole
36816324700,Gwenael Schmitt,2010,20
55945636700,Said Hamadène,1995,18
57203533737,M. Fernandez,2005,15
56707356100,Siewert Hugelier,2015,26
6507257831,Hratchia Pélibossian,1996,22
25724071900,Ammar Aljer,2003,16
57199470231,B. Wilson,2014,24
7003667638,Maurizio Vichi,2009,19
57205054402,Ioannis Parissis,1997,6
7005152559,Jan De Gier,2009,19
56003475600,E. Simoneau-Buessinger,2014,24
14019498900,Vincent Dubreuil,1992,15
23008692200,Michel Hamon,2004,17
36470798500,Marius Posta,2011,21
55639540400,Abida Toumi,2008,22
56079662200,Lauriane Sedès,2013,28
6701717022,Jean Claude Marquié,1991,12
57204397298,Fatma Ben Mesmia,2018,28
6602272867,Thomas Guionnet,2001,11
36164894300,Patricia Serrano Alvarado,2016,18
56278368100,Leela K. Gudupudi,2014,24
55905767600,Paul Fergus,2014,24
56002303200,Mohammad Shaker,2015,25
7003684364,G. Defaye,1993,25
7006062519,Fiorella Guadagni,2010,26
57194657295,Eric Numkam Fokoua,2016,26
7102067286,Günter Schäfer,2009,19
6507052437,Christian Gentner,2011,21
7005295515,Roger Temam,1990,3
6602350090,H. C. Stempels,1999,26
57193831201,Yasunori Takahara,2017,27
14631570600,C. De Marziani,2009,19
57159978600,D. Medhat,2009,19
7004354274,Raúl Rechtman,2001,20
55920057000,Slaheddine Chelbi,2013,23
57190680369,Simon Ware,2017,27
24288728800,Patrick Gélard,1994,19
55838510332,Shuming Bai,2016,27
7103065327,D. Maier,1995,17
36453712700,B. Jacquier,2010,20
6508252665,Anne Grimal,1995,17
36968078200,Florian Basoge,2011,21
54385399300,Thibaut Lecompte,2005,27
10639679200,Sandip Roy,2016,26
24766310500,Alexandre Hostettler,2005,16
36190699900,Greg Bishop Hurley,2010,20
6701925503,Athena Vakali,2003,13
6603259884,Arnaud Huignard,2000,15
55452991000,Drew Parker,2018,28
24469712500,Baptiste Hemery,2008,17
7801486018,J. Pekarik,2009,19
14832176000,Dauplay J.,2006,16
56764415200,Nicolas Ninin,2018,24
6602526042,Geraldine Le Duc,1998,10
57196516104,Mohammad Saleh,2017,27
57203179449,Xiulin Xu,2018,28
26664481000,Richard Dufour,2008,18
55390323200,Andreas M. Tillmann,2014,24
18437015900,Benoit Lardeux,2007,17
7007166540,Alison S. Waller,2012,22
7006779373,Setsuo Tsuruta,2014,23
55146647600,A. Bittar,2009,22
56340131200,J. Y. Seyler,2012,22
56245385900,Lele Kang,2018,28
6507310196,Mabrouk Khemliche,2004,26
55892431600,Florian Bär,2016,26
25032012500,Sylvain Lelievre,2000,18
7402390313,G. C. Walker,2011,21
56513476200,Christophe Raynaud,2004,25
25630274200,M. Emam,2008,18
16463765800,Jacques Liévin,1990,13
15725722200,Roland Lenain,2003,13
7101647136,V. Fernandez,1999,19
7003798424,R. W. Diraddo,2001,17
6602531058,Dominique Chambellan,1996,18
36069432900,Chabod Luc,2009,19
55883275100,Tewfik Sari,1998,12
55663177200,Tae Gyu Chang,2006,16
6507693898,S. Deladreue,2001,15
24464505800,Jean Noel Vergnes,2007,28
14041529400,Nicolas Gama,2004,16
56399300100,Virginie Torrens,2005,15
16070341400,Stanislas Noria,2007,28
6508034486,Jayne Ireland-Ripert,1993,24
6506895472,Emmanuel Cordonnier,1996,22
56939340300,W. Chen,2015,25
57192293609,Abdelhafid Zeroual,2015,25
6701334024,Gilles Burel,1991,2
26648420600,Katerina Gkirtzou,2013,23
6603477323,Odile Mondésert,2002,18
57195772253,Claire Ozanne,1992,26
56114762600,Mawussé Agbessi,2014,25
55684446500,Rachel Levy,2010,22
57189664712,A. Pagani,2014,26
6506687058,D. Vernani,2004,14
16309784700,Romain Guillemot,2007,25
10840783800,Robert Fabriol,1993,24
6602207446,Luc Chassagne,1999,14
55531427200,S. Fresnel,2012,24
8668849800,Charles Hymans,2002,12
8911201600,Guillaume Giraudet,1999,19
57204345850,Christophe Ramseyer,1992,17
22236154700,M. Zortea,2015,25
7003350807,V. Barroso,2000,25
6506232454,M. Dréan,1998,16
55270360400,Muhammad Nazrol Bin Zawawi,2013,23
57203101107,Julien Denize,2018,28
7003386216,Anne Claire Jambon,1994,21
7005446642,Anne Nouri,1995,16
35318720900,Nawaid Usmani,2015,25
55957287600,Fabio Tiozzo,2013,23
6505974552,S. Bouguezal,1999,19
55880050400,Liliana Cucu,2013,20
55210333600,Zheng Qu,2011,26
7004075579,M. Menvielle,2005,21
7402139139,Y. F. Tan,2002,16
6505928631,M. Hollard,1999,14
6603247644,Hélène Barucq,1997,14
24821884600,Anca Apatean,2008,18
6507704669,M. Eugénia Captivo,2003,15
56974071200,A. Bache,1997,21
6602194308,G. Ouillon,1996,16
55629547200,M. Kouki,2018,28
54419904100,Saeid Emadi,2017,27
12902713100,Jean Lassègue,2008,15
15070429600,Marianela Fornerino,2003,25
36634726700,Marina Piat,2008,18
6603561436,Claire Darraud-Taupiac,1995,14
6603476567,Nicolas Vanhaecke,2002,14
57190943852,R. Zaouche,2018,26
6701643704,S. V. Goupalov,2001,15
13005751700,Tony Pratt,2005,17
6508024595,Cécile Héraud,2003,17
6701714180,A. Veronig,2009,22
57197787536,Fallilou Diop,2017,27
6701760555,Mohamed Bouazaoui,1990,5
7006513449,Sylvain Perrot,2002,27
55715631800,Xiaohui Zhang,2007,17
23100304500,Gustav Markkula,2007,17
56016849700,Babak Sohrabi,2012,22
10044860900,Volker Gravemeier,2018,28
35114583400,David Abada,2009,19
25925271900,Cédric Pinto,2010,18
57193088194,Catherine Galli,2017,27
36941958300,H. Duque,2003,14
55505575800,Raca Todosijević,2012,26
6506497599,V. Vigneras-Lefebvre,1995,18
7003321707,Vincent L. Gracco,2009,27
56835894200,Francis Leboeuf,1990,20
8702625800,Stefania Testa,2016,26
56627848400,X. Muneret,1997,21
57205349755,Roberto Borchia,2018,28
55389033000,Eric Durocher,2002,16
57189213486,Brendan Guillouet,2016,26
56080718100,Abdelkerim Ferchichi,2008,24
35501435900,Paolo P. Pescarmona,2012,22
57206490200,Viviane Moreira,2018,28
23567554100,Luis Cueto-Felgueroso,2010,20
8974048100,Andrew Rowley,2017,27
56030195400,Fanlu Kong,2007,17
6505920789,Christopher C. Lapish,2016,26
57203379822,Winston Hsu,2017,27
56383419500,Shawn Henderson,2016,26
26767632400,Folio David,2007,17
55697141200,Rainer Keller,2011,21
7004271887,Mathilde Cannat,1990,25
36630798700,Luis Felipe Melo Mora,2010,20
56146573000,Alvaro Garcia-Recuero,2016,26
26430511700,Oliver Brook,2009,19
7006807059,Heino Falcke,1999,16
57188342600,Arnaud Vissio,2016,26
35797185000,Francois Gruson,2010,23
6506874940,Sta Jean-David,1998,20
6506142679,Carine Schleiffer,1995,23
26429280500,Rim Drira,2008,18
57203229438,M. Castaneda,2018,28
54407250400,Roberto Quilez,2011,22
23491998900,Tarek Habib,2006,16
7801501276,Koray Kayabol,2011,21
35911026000,H. Szymczak,1990,21
6603077690,G. Suisse,1990,17
56305691900,Elnaz Asadollahi-Yazdi,2016,28
6603196991,U. Löhnert,2006,22
54785262900,A. A.A. Silva,2014,24
6506090140,Victor V. Yasnov,2006,16
57204440999,Saud M. Alzahrani,2018,28
55371043400,Irene Klompmaker,2013,23
6602806420,Christina Zeitz,2008,23
55390131000,Yasmina Bouzarour-Amokrane,2012,22
55782145400,Jean Jacques Valette,2000,22
57194907127,A. Andreoli,2007,17
6602461007,Andrée Tiberghien,1994,21
7004173174,Sylvie Hamel,2010,20
6602380582,Matthieu Latapy,2001,11
36238070700,Christophe Jean,2002,16
9336832500,Alexis Todoskoff,2000,10
36713774200,Kinvi Logossah,2008,20
6603322853,Isabelle Corre,1995,23
57193448950,Rodrigo Iga Jadue,2017,27
55961141700,Alexander Killi,2015,25
55259071200,Nithin George,2017,27
8517464000,P. Palensky,2017,27
7201884734,Dominique Costa,1990,24
56396941400,Jean Eudes Méhus,2012,22
23009472100,Pascal Lépinay,1993,6
8894614600,Tigist Alemu,2004,15
17134577000,Stéphane Glockner,1999,15
6506345528,Luis Ferreira Pires,2017,27
55352471100,Jason Quinley,2012,22
7407378316,Jeffrey E. Hall,2005,15
6506844420,Meritxell Miñano,2009,19
23091570600,M. Mazari,1999,18
15842015600,Yacine Rekik,2006,18
57193844980,Pierre Henry Hanzard,2017,28
56045574200,Beerend Ceulemans,2016,26
57195559331,M. Ben Tahar,2018,28
6602090341,Sylvain Blayac,1998,13
8915683900,Gabriel Paës,2004,22
57191039090,Jean Pierre Loustau,2018,26
57192371813,Oulebsir Boumghar Fatima,2016,26
25628571400,Isabelle Nann,2007,18
7004477118,Jean Sébastien Coron,2006,16
6603096510,David Axel Laplaud,1999,28
6602719789,Jacques Sombrin,1996,9
37110778700,Fatiha Bouaziz,2011,24
24546670300,G. Kaufmann,1992,22
25825575400,Florian Simatos,2009,18
6505482594,Laurent Basteres,2001,15
55256351900,Fouad Belhora,2012,26
56223055000,Matthias Becker,1995,27
55811800700,Leila Fontenay,2012,22
26025571400,K. Bredahl,2013,27
7201365464,Marina Marino,2016,26
57196821733,Cécile Joubert,2002,14
55311855200,S. Wegener,2008,18
36003624100,M. Pardini,2015,25
57190980395,A. Tamra,2016,28
6507194991,T. Nitescu,1999,19
6506004127,H. Timsit,1999,19
23009028700,Ali Khanafer,2010,19
57189311190,Jeff Nowakowski,2016,26
54421301400,Andrew T. Stephen,2009,20
57192295130,Dominique Blain,2016,26
16027501900,M. Rainford,2014,22
57195389633,Teodora Felguera,1993,25
7402790968,S. Alexander,2001,16
36805685400,Dorsaf Elleuch,2013,25
57197672885,Berk Celik,2015,26
23974111700,Hicham Chehade,2007,18
7005882304,Daniel Kirsten,2001,11
26435260800,Joanna Kołodziej,2013,23
6602534173,Stéphane Marier,1997,19
26435361700,Pierre Mayenobe,2003,13
6506353519,P. Kellert,2001,18
56937806800,C. Liu,2008,22
15925920700,Marcel Ropotar,2009,19
57189344824,Rahman M.,2016,26
7004575661,Francisco Barahona,1995,10
26026181500,Elena Zhizhina,2004,17
57196216997,Erwan Abalea,2017,27
16024795900,Aït Ahmed Nadia,2010,20
54782929300,Boris Kouassi,2011,21
8554454800,C. Barache,2005,24
7403291857,Aijun Li,2009,19
35773795200,K. A. Quach,2009,20
6603390490,Christian Ghiaus,2000,10
57194835427,Sophie Naviner,2018,28
24821358600,A. Boundane,2008,18
7003578682,Edward Anthony Ward Maunder,1996,21
57207468590,C. Chang,2018,28
55365525700,Philippe Ercolessi,2012,21
55481774800,R. E. Thomas,1996,22
23984606900,Michèle Drieux,2007,17
36602617400,Maël Guiheneuf,2010,20
26643312600,Daniel W. Chan,1998,15
15063887400,Alexandre Berred,1998,8
12790140600,C. Ahyi,2001,17
57189072926,Quynh T.T. Nguyen,2018,26
27867811000,C. Kollas,2015,25
55974660200,F. Inzoli,2015,25
16178095900,Alexis Protiere,2007,17
31767729700,Christian Rewitz,2016,26
42261460000,Joslaine Cristina Jeske De Freitas,2016,26
7801490333,J. L. Sohler,1998,20
7005730125,Nam Quoc Ngo,2005,15
36615299200,Willian Maja,2010,20
36630293400,L. Frein,2010,21
55961075000,Florence Danglade,2014,24
8920845500,A. Gallazzi,2002,24
56165207900,Erich Neuhold,2004,14
25655625500,André Tavares,2014,21
25926681900,Christoph Sprunk,2013,23
7003768034,T. Buffeteau,1991,8
24722993500,Bonnevay Stéphane,2007,17
7103138947,Robert Lalonde,1993,28
7102555799,Linda Sperling,1991,19
6603480856,Jens Dibbern,2017,27
56257600100,Virginia Ortiz Repiso Jimenez,2013,23
57196247566,K. Kunal,2017,27
55460736000,Michael Sanchez,2008,18
7004632677,António Dourado,2000,22
36978855700,M. Turczyn,2008,18
56417168500,Joan Martí,2010,20
9533160300,Said Oumouch,2005,16
57200071649,Taisto Tuominen,2017,27
35430042600,Francesco Benedetto,2017,27
16679222000,Sergey A. Guda,2015,25
35593811100,Thomas Nilsson,2008,18
54418970200,Juan Ma,2011,21
56593116100,D. Świerad,2015,26
55738721200,Guanghui Wang,2007,17
55858603300,Chao Gu,2013,23
7005980187,M. M. Rousset,2000,16
57190300756,Olivier Wang,2016,26
23397629300,Salim Nahle,2007,17
57203094083,F. Vazza,2014,25
7003376187,John Debes,2011,24
7004874094,Gilles Soulez,1990,14
12545635900,Albert Guillén Fàbregas,2002,12
14831456100,David Leray,2006,15
15925154000,Joël Amalric,2005,16
8319802300,P. Schiess,2007,17
15044954200,Florent Langrognet,2000,16
7004417010,Zohar Manna,1992,26
35225421300,Tristan Thabuis,2009,19
6603212866,Cynthia Marie-Claire,1997,28
36936266300,Jaromír Seidl,1997,21
24335475600,Simona Mosca,2012,22
36103964500,P. Bruguiere,2008,19
23995705900,S. Manzoni,2015,26
56548968900,Cagrı Cöltekin,2018,28
6506951919,Sylvie Thoron,2004,26
6701690859,M. Hovd,2008,18
55920453100,François Chauvancy,2013,23
56067237100,François Vincent,2002,16
6507907677,Tewfik Ziadi,2004,14
54385715900,Peio Loubière,2011,21
57190573713,Francisco Silva E Silva,2018,28
52863956700,Xu Jin,2007,18
6602748504,Dimitris Manolas,1995,23
55601764600,Dorothy C. Koech,2016,26
55604303000,Gilles Civario,2013,23
7003711298,Konstantin M. Golant,1997,15
56083293900,S. Johnstone,2014,27
6602553055,Sameer Hasija,2014,27
8502955300,A. Schröter,1995,23
56636695600,Andre Kamga,1996,22
7006495003,Xuebin Chi,2009,19
6507429186,L. Soyer,1998,20
8552286100,F. Lesur,2000,17
55825941600,D. Esteve,2013,26
6507601911,Anna Pla-Quintana,2003,18
57197890326,Juan C. Velez,2002,16
6506341918,J. Ravoux,1995,17
24766142600,Philippe Larvet,2002,12
8986539700,Audrey Fahys,2005,20
45960893200,Patrick Brunel,1998,16
6508225953,B. Masdoua,2003,14
7007072060,R. W. Hollander,1996,13
6603780207,Eric Ness,2005,15
13609644600,Carolina Saavedra,2013,23
24725214300,V. Monteiro,2006,16
44061145500,G. Doubre-Baboeuf,2011,22
57192914153,Márk Fékyz,2001,17
15835646600,Cécile Proust-Lima,2007,19
57203216789,Pierre Jannin,1996,10
7003645893,L. Saloff-Coste,1990,20
57188748169,Elena Lungu,2015,25
14029656200,Huascar Espinoza,2006,16
6507778855,C. Balorin,2002,17
6507249399,T. Marrel,1999,17
55838084400,Xin Qi,2013,23
14628445300,Florence Druart,2002,16
55731374100,Yanxia Gao,2007,20
57189090439,Alexander G. De Matthews,2015,25
7005337879,Francesco Migliavacca,2005,24
56102203000,Frederic Dumont,2015,23
24170805000,Maria Camila N. Barioni,2017,27
26531594700,Frédéric Paccaut,2000,25
6602293547,Claude Hattab,1990,28
7004091601,Johan Vandamme,1994,19
35848858900,Ralph Axel Müller,2017,27
16417168600,Elimane Kane,2007,17
56968037900,Maria Zeza,2015,25
35147655600,M. I. Andries,2011,21
6506921991,Mickael Derbez,1998,24
8357416500,Daniel Boutonnet,2005,15
9436849500,Yves Wiaux,2012,22
25627283300,Thomas Batte,2004,24
56452559000,G. Bradley,2018,28
7102625956,Patrice Yao,1994,24
57201172569,J. F. Roch,1990,19
36664812700,Hassen Ben Mâad,2010,20
57202889895,Boukhalfa Abdelouaheb,2018,28
57200501857,C. Pesco,1999,19
57195685840,José Maria Martínez,2017,27
57193573205,Paul Williams,2016,26
57163047100,Jhon A. Isaza,2018,28
36172704800,Noelia Vallez,2017,27
57197554426,Nicolas Durand,2001,11
57192384032,Farzan Kalantari,2018,26
35070019100,Sebti Mouelhi,2009,19
7801415985,F. Khatounian,2003,16
26657137800,Rocío Abascal-Mena,2007,18
57188725838,R. Ranaivosoa,2015,25
57021574800,Piotr Antonik,2018,28
57199066122,M. S. Gordon,2012,22
57189257897,F. Brugiere,2002,16
57160175300,Hocine Bendou,2016,26
55947284200,Jean Marie Blanchard,2004,14
6701774097,Christian Borgelt,2011,25
56190106200,Maria José Amorim,2015,25
36628123700,Matthieu Chabanas,2000,10
55629643800,H. Makhmara,2010,20
7006119715,Guido Knippels,1995,17
55904512100,Bin Wang,2014,23
57194278954,Emmanuel Viglino,2017,27
56541162300,G. Hamon,2013,23
26435136200,Mouna Baklouti,2007,18
7402136006,Russel D. Andrews,2001,25
56517715300,Chunfeng Lian,2015,25
35238939800,Elyn L. Solano-Charris,2014,24
19337532100,Tomasz Kornuta,2017,27
23005317000,C. Loisel,2007,22
36240772300,Bart Mennink,2018,28
54581450400,Knopp Raymond,2011,21
55995655700,Rafael Angarita,2013,22
8604666200,Michael Punch,1992,23
7005676879,Arnaldo Bonati,2005,15
57204251333,Thomas A. Germer,2011,21
6701754812,S. L. Gobbi,1993,21
6603723384,D. Gaudin,2004,16
6603539998,N. Fleurot,1990,16
57203204624,Zakaria Kerkaou,2018,28
8548822000,Markku Juhani Saarinen,2011,21
26321761100,N. Louis,2009,19
7101782257,William R. Hogan,2014,24
37098567800,Malte Diederich,2011,21
56411920100,Evangelos Psomakelis,2017,27
16031600600,Emmanuel Richard,1995,12
56109985500,M. Weiss,2013,23
6603838207,Hugues Bouchard,2013,22
7003680119,J. P. Gaspard,1990,18
56594481000,Molham Darwish,2015,25
57200783233,Ueno N.,2005,15
56630223900,M. Radeau,1995,21
23011698200,Adel Benzina,1997,12
35617415500,Marc Demange,1994,4
15042854400,Olga Rudenko,2002,12
26430482000,Annick Bureaud,2005,15
6603646692,Hernan Astudillo,2002,12
55803668500,Dominik L. Michels,2015,25
22333878000,Adel Jedidi,2004,14
56031467700,Laurent Baud,2002,12
6603421658,Jussi Rahola,1998,15
36473088400,M. Erausquin,2013,23
9245337700,Alberto Lluch Lafuente,2015,25
7005382308,J. F. Chassagne,1990,19
8717735800,Donghui Chen,1995,14
23396074500,Marin Bertier,2002,13
8286910100,Prakash Countcham,2005,15
7004674188,Claudette Cayrol,1993,3
56389400700,Ahmad Sabri,2014,23
37091242100,C. Morin,1991,17
7101820325,Norman W. Paton,2008,24
55438117400,Ronan Lashermes,2012,23
52063624000,Anja Korporal,2011,21
57195940191,Paul de Goede,2018,28
16642938700,Jean Marc Faure,1997,7
35965781000,Claudia Angelini,2003,25
25655229400,Anna Kaisa Pietilainen,2015,18
55554012200,Félix Henry,1999,12
12784775300,Maite Taboada,2017,25
6602104029,Guillaume Mella,2004,14
7003975999,Francois Marc,1994,11
57206736873,Erica L. Schwindt,2018,28
36149156600,J. Fantuz,2010,20
55346238800,D. C.G. Foo,2018,28
55912445100,Pascal Staccini,1997,17
9740828000,Adrian Lupaşcu,2008,19
6506431527,Séverine Maingaud,1995,21
16635523100,Benôit Delourme,2003,15
57188752250,Philipp Ampletzer,2016,26
6506405382,Michele Seeber,2001,19
57196716304,Philippe Bertrand,1990,20
16414784000,B. Reverdy,1994,24
8210164900,M. T. Simsim,2014,24
55336597100,Simon Leßenich,2012,22
56365321500,D. Haas,2008,22
55903287600,Filippo Ziglio,2013,23
55507392400,Mario Dagrada,2014,24
13609694400,Eduardo Rodriguez-Tello,2004,14
6507103256,Chérif Keramane,1996,21
55879881900,Svetlana Klyatskaya,2010,21
6506690233,D. Moraux,1993,22
57188829558,A. G. Landrot,2002,16
23990008400,Romain Demangeon,2008,18
7102577004,Dominique R. Jolly,1996,13
57198820650,R. Navarro Perez,2017,27
57188733509,J. Lhermitte,2016,26
7005877653,B. G. Mertzios,2004,15
36782061800,Anthony Ferrari,2010,20
56641408700,Bendali Salhi,2007,19
20436676300,Jairo Panetta,2013,21
6603583180,Oscar Figueiredo,1999,16
54397760400,Fiorella Ruggiu,2010,20
7102700826,Xiaofeng Xin,2009,23
6602567419,A. Benkenida,2000,16
52364876700,B. Sitarski,2013,26
55878947500,Thomas Uslander,1999,18
57193652514,Trang C. Mai,2017,27
6602451297,I. Pollak,1998,20
55888724800,Frédéric Bonnardot,2004,14
55900690200,Yuxi Li,2016,23
14821793100,Carlos A. Durán,2006,16
7003663098,U. Israelsson,2014,24
13104887800,Jean Christophe Bardet,2005,15
22940989000,Corine Florens,2006,17
23989107600,Maximilian Matthe,2014,24
35424413500,Rémi Soulard,2010,27
21643449200,M. Desgeorges,1990,18
12242450800,Elie Kahale,2012,22
55440311600,Celia Romo,2015,25
56747980200,Camille D. Dago,2015,28
14018246700,Marianne Santaholma,2008,18
57196302792,Wen Li,2009,19
35253987700,Matthew E.L. Jungwirth,2013,23
6602795654,Demba Cissé,2003,15
6604021227,Peggy M. Tomasula,2012,22
36060113200,Simonette Pierrot,2010,20
8937681800,Cécile Barron,1999,22
57197695978,Daoud Daoud,2010,19
6506656144,F. Baume,1996,17
56639282800,Neil D. Rawlings,2015,25
57197368654,Cihan Aksoy,2011,21
6505874048,Sébastien Cantarell,2003,13
6504377321,P. Malblanc,1993,25
6602331414,Duro Basic,2009,20
55665563600,Khaldoun Al Agha,1997,8
24922890200,Jamil Dakhlallah,2007,19
57196194669,Juan Mantilla,2017,27
36816589200,L. Thiron-Lefevre,2010,20
26644135200,Václav Kubečekb,2012,22
56257263600,Nicola Zorzi,2009,28
55949428900,Sebastian Möller,2015,25
6602775044,S. Papillon,2000,18
7004022711,R. Morel,1991,22
13607175900,Valérie Noyon,2005,15
7410389613,Aarti Gupta,2018,28
18041833800,David Amsallem,2013,26
6701834930,Sergio A. Pignari,2015,26
6507025980,Raluca Hohotǎ,2003,15
8837828900,Indrė Žliobaitė,2013,23
6701530007,Jörg Frauendiener,2001,21
55989810400,Joaquín Salas,2009,19
6602777491,Adam B. Olshen,2007,21
55617584700,Hongkai Xiong,2010,20
57195504582,Rihab Fekih Romdhane,2017,27
6701414652,Petr Fojtík,2001,17
35579517100,Hans Christian Weissker,2004,28
26031071400,Yong Yang Qi,2012,22
55973076900,Roxana Gabriela Rosu,2015,25
57194144148,Yannick Vernay,2014,28
36115275500,Maria Spiropoulou,2009,19
7003680929,Jean Pierre Rospars,1992,4
55436580800,Gladys Diaz,2002,12
55053435400,Hugo Labrande,2012,22
36679991000,Ahmed Gamal-Eldin,2010,20
13104737800,M. Trzmiel,2006,16
56175534000,Gaetano Scioscia,2009,19
55831215500,V. Faye,2013,23
56735634200,Laurent George,2015,25
7202920765,K. Nakazawa,2009,20
36963279100,Francis Courrèges,1996,22
57190798269,Quentin Crignon,2014,24
8620148200,Lucas Labadie,2002,12
55761197000,Cristian Galleguillos,2013,23
6602899821,D. Riehl,1993,15
6506330966,Khalil Hachicha,2003,13
54987307300,C. Clivati,2016,26
14035100800,L. Burlion,2005,16
7102447001,Enrica Martini,2014,24
57203964565,Jean Demuynck,2018,28
8700956700,Emmanuel Hainry,2004,14
56369577300,Christina Gutierrez Ruiz,2014,23
6504010163,Pascale Danto,2002,27
6506116372,T. Rabaute,1993,19
6508304627,Yves Frétigny,2002,14
23006340400,A. Yu Panarin,2007,17
56307908100,Jonathan B. Hill,2006,16
26430697600,Davy Van Deursen,2012,22
24484862400,C. Sartel,2002,19
56323460100,Valeria Vignudelli,2014,24
57188671611,François Tavernier,2016,26
6701597437,Stéphane Pasquiers,1990,14
6506380271,H. Carfantan,1993,7
7005810184,Nitin Kumar Tripathi,2009,19
37061485200,Alessio Langiu,2011,20
57192593045,G. Bazin,2016,26
37015515400,Pedro Antonio Tudela Solano,2013,23
55949278200,Tuulikki Seppänen-Laakso,2005,21
16032874200,Moncef Benkherrat,2005,16
47061781200,Stéphanie Pouchot,2000,10
7006376498,Elena Bonetti,2003,14
35446002900,D. Cruikshank,1993,16
16471446000,F. W. Bopp,1991,24
55976264400,Patrick Baillot,1997,7
6603046252,Frédéric Moens,1995,14
56203572900,J. H. Quessada,2014,25
6701769322,Axel Jantsch,2010,20
37120574600,Sara Martin-Horcajo,2011,26
35168696400,M. Boquet,2008,19
54781272800,Guido Carlo Ferrante,2012,23
6506564716,Paola Roncaglia,2005,26
21743369000,Sebastien Lagrange,2004,14
55813908400,Robert Dewar,2002,15
56463148700,C. Diaz,2004,24
55937054700,Luigi Ramunno,2017,27
57202308622,Frëdërick Pasterriak,2018,28
57201120477,Rafic Hage,2017,27
35226710600,Horacio Poblete,2012,22
57193510529,Frédéric Blanc,2009,19
36026187100,Aurélie Vandeneynde,2004,14
23501064100,Jean Dubranna,2005,28
57202293265,Samuel Albanie,2018,28
24329996300,Janice Kielbassa,2008,22
36150748300,M. Gorisse,2010,23
7101988086,S. A. Kovalenko,1997,21
26664442500,R. Guerrero,2007,21
57200165239,Rihab Bkekri,2017,27
18039116600,Radim Zemek,2011,21
7102700855,Xiaolong Xin,2014,24
57190001162,Khalil Drissi,2016,28
7004654275,Patrick Laborde,1991,11
56822668900,Jianhui Wei,2015,25
35914975100,A. Lefevre,1997,14
22985083500,François Lauze,2006,16
57200630510,Francesco Regazzoni,2014,26
7401653270,Jairo A. Gutierrez,2017,27
55929318800,Catherine Berthelon,1990,23
55307433500,S. Tessarin,2004,14
6602627252,Tomás Pérez Segovia,2001,14
56562922100,Sébastien Leprince,2004,14
36604994100,N. Pavy,2010,21
